Scenario,Var Name,CMultStdev,tvVmax,tvKm,tvV,tvKa,K12,K21,K13,K31,dVdWT,stdev0,nVmax-nVmax,nV-nVmax,nV-nV
WorkFlow,CMultStdev,0.00082204374,,,,,,,,,,,,,
WorkFlow,tvVmax,12.640368,66680950,,,,,,,,,,,,
WorkFlow,tvKm,8.4148948,35032295,19183905,,,,,,,,,,,
WorkFlow,tvV,0.092523715,-9979.7535,-6967.5536,122.14565,,,,,,,,,,
WorkFlow,tvKa,0.001048407,-341.09269,-186.26059,1.6868905,0.073815438,,,,,,,,,
WorkFlow,K12,0.0014178201,-567.8205,-286.01912,1.2076105,0.05117727,0.059458303,,,,,,,,
WorkFlow,K21,0.011894204,-4082.1896,-2105.0044,11.841516,0.47655825,0.52355567,4.6755806,,,,,,,
WorkFlow,K13,4.4348024e-05,-60.633724,-33.432074,-0.0054712225,0.00062698823,0.0018778647,0.014303934,0.00016752328,,,,,,
WorkFlow,K31,4.9388389e-05,9.5563516,5.8046656,-0.0014738895,0.00077669159,0.001367317,0.011011781,8.0239951e-05,0.00010463723,,,,,
WorkFlow,dVdWT,0.0013390354,1026.6135,656.22707,0.8773699,0.032305753,0.020288485,0.1950408,-0.0010320538,0.00031633847,0.42534478,,,,
WorkFlow,stdev0,-0.01378039,-17454.769,-9240.9839,-7.0434793,-0.22904491,-0.21535141,-2.2055205,0.0062617886,-0.014569767,-1.1051314,34.014118,,,
WorkFlow,nVmax-nVmax,0.00092232557,309.21371,298.17501,-0.26748609,0.00098940818,-0.0010441892,-0.022287594,-0.00059369631,0.00023055775,0.021525318,0.033159272,0.05041047,,
WorkFlow,nV-nVmax,-0.00015948353,311.20848,111.28403,0.0029745009,-0.0058064606,-0.0061215457,-0.045986146,-0.00014665074,-3.2097304e-05,-0.023809233,-0.11934561,-0.0085257908,0.01293839,
WorkFlow,nV-nV,7.1475946e-05,399.4409,194.68358,-0.12059692,-0.0057897539,-0.0058247607,-0.045958886,-0.00031800242,-4.5299218e-05,0.0018345051,-0.12820594,-0.0033343872,0.0075343543,0.01384292
