Scenario,Var Name,CMultStdev,tvVmax,tvKm,tvV,tvKa,K12,K21,K13,K31,dVdWT,stdev0,nVmax-nVmax,nV-nVmax,nV-nV
WorkFlow,CMultStdev,0.00098185334,,,,,,,,,,,,,
WorkFlow,tvVmax,29.032362,66249189,,,,,,,,,,,,
WorkFlow,tvKm,15.623032,36405687,20425533,,,,,,,,,,,
WorkFlow,tvV,0.085453175,-8566.1703,-6068.6517,79.348695,,,,,,,,,,
WorkFlow,tvKa,-0.00050428959,40.476549,-4.5692192,0.54252818,0.021820663,,,,,,,,,
WorkFlow,K12,0.00030397639,-24.509829,12.454782,-0.41610382,-0.0097815313,0.017733393,,,,,,,,
WorkFlow,K21,0.0010706501,198.63387,218.5286,-1.6994784,-0.038819653,0.080086835,0.36787126,,,,,,,
WorkFlow,K13,6.0349039e-05,-45.778479,-22.366147,-0.07548412,-0.0018729036,0.0024108658,0.010220986,0.00041094142,,,,,,
WorkFlow,K31,6.9525451e-05,27.499511,17.397139,-0.047673764,-0.00097158982,0.0013992814,0.006108971,0.00020865952,0.0001718937,,,,,
WorkFlow,dVdWT,-0.00039801174,1196.3116,652.71239,0.021168488,0.0047011227,0.0073304939,0.04323559,-0.00014036669,0.00035765905,0.39456788,,,,
WorkFlow,stdev0,0.027661467,-2724.0894,-1999.525,13.287268,0.14439631,-0.28738043,-1.3208195,-0.035370868,-0.019767791,-0.60694769,15.594914,,,
WorkFlow,nVmax-nVmax,0.00098412158,253.08929,187.99218,-0.11025136,-0.0010977982,0.0047218993,0.020284763,0.00035596662,0.00057345233,-0.007911949,-0.057853606,0.030804763,,
WorkFlow,nV-nVmax,0,0,0,0,0,0,0,0,0,0,0,0,0,
WorkFlow,nV-nV,0.00020113556,492.97395,275.95253,-0.11437794,0.00097579947,-0.0019996686,-0.0069601362,-0.00060525018,-2.7208897e-05,0.019757078,-0.029249798,0.0014480553,0,0.012932131
