Scenario,Var Name,GAMMA,CMultStdev,tvVmax,tvKm,tvV,tvKa,K12,K21,K13,K31,stdev0,nVmax-nVmax,nKm-nVmax,nKm-nKm,nV-nVmax,nV-nKm,nV-nV,nKa-nVmax,nKa-nKm,nKa-nV,nKa-nKa
WorkFlow,GAMMA,0.29426224,,,,,,,,,,,,,,,,,,,,
WorkFlow,CMultStdev,-0.0019776379,0.001065229,,,,,,,,,,,,,,,,,,,
WorkFlow,tvVmax,-5392.0923,63.808061,186580270,,,,,,,,,,,,,,,,,,
WorkFlow,tvKm,-5180.121,58.939667,157149520,136661730,,,,,,,,,,,,,,,,,
WorkFlow,tvV,0.96316898,0.10507163,39974.29,23366.717,239.63518,,,,,,,,,,,,,,,,
WorkFlow,tvKa,0.013746872,0.00018155631,577.86779,311.12614,3.8103804,0.13952277,,,,,,,,,,,,,,,
WorkFlow,K12,0.023163411,-0.00051242123,-553.41634,-550.73464,2.850212,0.093443693,0.10652204,,,,,,,,,,,,,,
WorkFlow,K21,0.14634301,-0.0043632657,-1430.4654,-2245.8744,31.074836,0.97467982,1.0265979,10.081392,,,,,,,,,,,,,
WorkFlow,K13,-0.00095604964,-4.2174023e-05,-113.70634,-78.592644,-0.22517069,-0.0047124343,-0.0015329991,-0.02219457,0.00040410449,,,,,,,,,,,,
WorkFlow,K31,0.0031161762,-6.6763483e-05,-66.902787,-64.057601,-0.030764353,2.3284905e-05,0.00076629079,0.0048902259,6.5702334e-05,9.0164282e-05,,,,,,,,,,,
WorkFlow,stdev0,0.76060082,-0.015241458,-26114.23,-22232.781,-16.054884,-0.45707253,-0.35471672,-3.860421,0.018621907,0.010062327,9.3494691,,,,,,,,,,
WorkFlow,nVmax-nVmax,-0.55616772,-0.0072163363,2084.3558,3903.2973,-9.465619,-0.10138073,-0.052700874,-0.5526564,0.013328894,-0.0027716135,0.47822651,2.7381992,,,,,,,,,
WorkFlow,nKm-nVmax,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
WorkFlow,nKm-nKm,-0.014748332,-0.00030623449,489.98038,395.16607,-0.41606672,-0.005286735,-0.0094447128,-0.08384787,9.4545381e-05,2.8085221e-05,-0.047323366,0.034731905,0,0.016859388,,,,,,,
WorkFlow,nV-nVmax,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
WorkFlow,nV-nKm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
WorkFlow,nV-nV,0.99832723,0.011335232,-8746.6966,-10166.355,12.032026,0.086036292,0.0404992,0.32283354,-0.017391685,0.0050383647,0.10086377,-4.0597148,0,-0.075702781,0,0,6.4918793,,,,
WorkFlow,nKa-nVmax,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
WorkFlow,nKa-nKm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
WorkFlow,nKa-nV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
WorkFlow,nKa-nKa,0.0049597955,-0.00036300761,370.85202,224.5427,0.79114886,0.018172644,0.019599593,0.20638979,-0.001179687,-6.4919759e-05,-0.15946434,-0.088659551,0,-1.5750263e-05,0,0,0.1096379,0,0,0,0.034364657
